This is the first Osage dictionary in the modern orthography =)
Each Osage word is written in the Osage alphabet and in a Latin transliteration
Can't see the Osage on your device? Download a font: https://www.google.com/get/noto/#sans-osge
This was not possible without the help of many volunteers
Thanks to Jakub, Wojtek, Filippos, Jonás, Victor, Aaron, Tahsin, Hubert, Christopher, Santiago, Max, and Batyah
Special thanks to Craig, Mark, Michele, and Aino!
I hope that this project will help people learn Osage so that the language can be passed onto future generations
-Harris

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
tall (animal's tail or part of Osage dance costume), tail dancer	𐓮𐓣͘𐓲𐓟	sį́įce
tail feathers: fan made out of ~	𐓣𐓤𐓶𐓘𐓲𐓣	íhkuáci
take (select, take out)	𐓵𐓶𐓺𐓟	ðuuzé
take (take along, carry)	𐓤'𐓣͘𐓘𐓡𐓣	kˀį́ahi
take a bath	𐓡𐓣𐓵𐓘	hiiðá
take a seat	𐓪𐓧𐓣͘	olį́į
take a wife	𐓨𐓣͘𐓧𐓘͘𐓤𐓟	mį́įląke
take a husband	𐓘𐓵𐓶𐓹𐓟	áðuɣe
take each other as relatives	𐓵𐓪𐓰𐓘𐓤𐓣𐓵𐓟	ðótahkiðe
take as a sexual partner	𐓵𐓶𐓹𐓟	ðúɣe
take as a wife	𐓧𐓘͘𐓤𐓟	lą́ke
take away	𐓘𐓵j́𐓘𐓵𐓟, 𐓘𐓵𐓣́͘𐓨𐓘͘𐓵𐓣͘, 𐓵𐓣𐓲𐓣𐓺𐓟	aðj́aðee, aðį́mąðį, ðicíze
take away from someone something of his/her own	𐓤𐓣𐓧𐓶𐓺𐓟	kilúuze
take away one's own	𐓧𐓶𐓺𐓟	lúuze
take back (motion underway)	𐓘𐓵𐓣͘𐓘𐓧𐓟	aðį́alee
take back there (motion accomplished)	𐓘𐓵𐓣͘𐓘𐓤𐓯𐓣	aðį́akši
take care of	𐓘𐓤𐓣𐓰𐓪͘𐓬𐓟, 𐓘𐓤𐓣𐓰𐓪͘𐓬𐓟, 𐓘𐓤𐓣𐓰𐓪͘𐓬𐓟, 𐓘𐓰𐓪͘𐓬𐓟, 𐓵𐓘𐓤'𐓟́𐓵𐓟, 𐓪𐓤𐓘𐓯𐓘͘, 𐓪𐓤𐓘𐓯𐓟, 𐓷𐓘𐓩𐓘𐓯𐓟áhkihtǫpe, ákihtǫpe, ákitǫpe, átǫpe, ðakˀéðe, okášą, okáše, wanáše
take care of a meal oneself when asked to do so	𐓪𐓤𐓣𐓡𐓘͘	óohkihą
take care of a task or an event	𐓪𐓵𐓪𐓷𐓘𐓵𐓟	oðówaðe
take care of kids or children	𐓻𐓣͘𐓤𐓪𐓤𐓘𐓯𐓘͘	žįkókašą
take care of oneself	𐓪𐓤𐓣𐓤𐓘𐓯𐓟	óhkihkaše
Take Care of the Eagle (personal name)	𐓸𐓶𐓵𐓪𐓤𐓘𐓯𐓘͘	xuðókašą
take charge of	𐓪𐓤𐓘𐓯𐓘͘	ókašą
take clothes off (another person or oneself)	𐓵𐓶𐓯𐓘𐓷𐓘	ðuušáwa
take down	𐓵𐓶𐓡𐓶𐓲𐓟, 𐓵𐓶𐓸𐓬𐓘𐓷𐓣͘	ðuuhúuce, ðuxpáwį
take each other as relatives	𐓵𐓪𐓰𐓘𐓤𐓣𐓵𐓟	ðótahkiðe
take hold of	𐓪𐓵𐓣͘𐓤𐓟	oðį́įke
take hold of one another	𐓨𐓘͘𐓤𐓣	mą́hki
take home (motion accomplished)	𐓘𐓵𐓣͘𐓘𐓤𐓯𐓣	aðį́akši
take home (motion underway)	𐓘𐓵𐓣͘𐓘𐓧𐓟	aðį́alee
take home for oneself, take home as one's own	𐓘𐓤𐓣𐓧𐓣͘𐓘𐓧𐓟	ahkílįalée
take it slow	𐓧𐓶𐓻𐓣𐓤𐓣𐓵𐓟	lúžihkiðe
take off a garment	𐓵𐓣𐓯𐓰𐓪𐓷𐓟	ðiištówe
take off a person's clothes (e.g., a child's clothing before a bath)	𐓵𐓶𐓯𐓘𐓷𐓣͘	ðuušáwį
take off by pulling	𐓵𐓣𐓯𐓰𐓪𐓷𐓟	ðiištówe
take one's own	𐓘𐓧𐓘𐓵𐓣͘, 𐓘𐓧𐓘𐓵𐓣͘𐓵𐓟, 𐓧𐓶𐓺𐓟	aláðį, aláðįðee, lúuze
take out something by removing, extracting, or lowering it	𐓪𐓵𐓶𐓸𐓬𐓘𐓵𐓟	oðúuxpaðe
take sides with respect to someone	𐓣𐓤𐓣𐓟	íkie
take someone's side	𐓘𐓤𐓣𐓟	áhkie
take there (motion accomplished)	𐓘𐓵𐓣͘𐓘𐓡𐓣	aðį́ahi
take there (motion underway)	𐓘𐓵𐓣͘𐓘𐓵𐓟	aðį́aðee
take up for someone	𐓘́𐓤𐓣𐓟	áhkie
talk, talk about	𐓣𐓟	íe
talk: clean or clear ~	𐓣𐓟 𐓷𐓘𐓮𐓶𐓡𐓶	íe wasúhu
talk about something positively or negatively	𐓪𐓣𐓟	óie
talk clearly	𐓣𐓟𐓮𐓤𐓘	íeska
talk for another, talk in the presence of others	𐓟𐓤𐓣𐓟	ékie
talk for or against someone	𐓘𐓤𐓣𐓟, 𐓣𐓤𐓣𐓟	áhkie, íkie
talk in one's sleep	𐓻𐓘͘ 𐓰𐓘𐓣 𐓣͘𐓤𐓟	žą́ą tái įké
talk someone silly	𐓬𐓘𐓧𐓪͘𐓵𐓣͘	páalǫðį
talk straight	𐓣𐓟 𐓷𐓘𐓵𐓪𐓰𐓘	íe wáðohta
talk to each other using (a certain language or the hands)	𐓣𐓤𐓣𐓤𐓣𐓟	íhkihkie
talk too long	𐓣𐓟 𐓮𐓲𐓟𐓲𐓟	íe scece
talk too much	𐓪𐓲𐓣𐓻𐓟	óochiže
talk up or talk down, as when expressing one's emotions with respect to some topic	𐓘𐓤𐓣𐓟	áhkie
talk with one another	𐓪𐓤𐓣𐓤𐓣𐓟	ohkíhkie
talkative in excess	𐓪́𐓪𐓲𐓣𐓻𐓟	óochiže
talker (person who talks too much)	𐓣𐓟 𐓮𐓲𐓟𐓲𐓟, 𐓣𐓟𐓯𐓰𐓘͘	íe scece, íeštą
tall	𐓡𐓶𐓮𐓲𐓟, 𐓮𐓲𐓟𐓲𐓟	húuscee, scéce
taller	𐓡𐓶𐓮𐓲𐓟	húuscee
tallow	𐓷𐓟𐓧𐓣𐓮𐓘𐓤𐓣	wélisaaki
tamales	𐓷𐓘𐓲𐓶𐓟𐓸𐓪͘ 𐓪𐓵𐓣𐓯𐓣	wacúexǫ oðiši
tame (adjective)	𐓷𐓘𐓲'𐓟𐓤𐓘	wacˀéka
tame (verb) (e.g., a horse)	𐓵𐓣𐓷𐓘𐓯𐓰𐓘𐓤𐓟	ðiwáštake
tangled	𐓤𐓣𐓤𐓣͘𐓩𐓣͘	hkíhkįnį
tangled: get oneself ~ in	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
tape (make a recording with an audio device)	𐓣𐓟 𐓵𐓶𐓺𐓟	íe ðuuzé
tape recorder, tape player	𐓨𐓘͘𐓺𐓟𐓣𐓟	mą́zeie
tapping noise against metal (as made by a typewriter)	𐓨𐓘͘𐓺𐓟 𐓰𐓘𐓰𐓘𐓺𐓟	mą́ze htáhtaze
tapping sound	𐓰𐓘𐓰𐓘𐓺𐓟	htáhtaze
tarantula	𐓲𐓟𐓸𐓪𐓬𐓟𐓡𐓶𐓮𐓲𐓟	hcéxopehuuscee
task	𐓪𐓷𐓪͘	ówǫ
taste (verb)	𐓣𐓤'𐓶𐓲𐓟	íkˀuce
tea	𐓬𐓟𐓻𐓟 𐓨𐓘͘𐓤𐓘	hpéže mą́hka
tea: buckeye ~	𐓰𐓘𐓯𐓤𐓘 𐓡𐓣	htáška hí
tea: cedar ~	𐓸𐓪͘𐓲𐓟𐓩𐓣	xǫǫcénii
tea: green ~	𐓬𐓟𐓻𐓟 𐓰𐓪𐓡𐓪	hpéže htóho
tea: iced ~	𐓬𐓟𐓻𐓟𐓩𐓣 𐓩𐓘͘𐓹𐓟 𐓪𐓧𐓘͘	hpéženii ną́ɣe oolą́
tea: peyote ~	𐓷𐓘𐓩𐓪͘𐓜𐓟𐓩𐓣	wanǫ́brenii
teach	𐓷𐓘𐓤𐓪͘𐓺𐓟	wakǫ́ze
teach something to someone	𐓤𐓪͘𐓺𐓟, 𐓤𐓯𐓣𐓪͘𐓺𐓟	kǫ́ze, kšiǫze
teacher	𐓷𐓘𐓤𐓪͘𐓺𐓟	wakǫ́ze
teachings	𐓣𐓟	íe
tear (noun), teardrop	𐓣͘𐓯𐓰𐓘𐓜𐓣	įįštábri
tear (verb)(rip)	𐓤𐓘𐓜𐓘𐓺𐓟	kaabráze
tear apart (e.g., a tree limb from the trunk)	𐓵𐓶𐓬𐓘𐓸𐓘	ðupáxa
tease: be a ~,tease someone	𐓵𐓣𐓡𐓣𐓲𐓟	ðiihíce
tease people	𐓷𐓘𐓵𐓣𐓡𐓣𐓲𐓟	waðíihice
teenager	𐓲𐓟𐓤𐓘 𐓩𐓪͘	hcéka nǫ́ǫ
teeter	𐓮𐓣𐓮𐓣𐓘͘𐓵𐓟	sísiąðe
teeth	𐓡𐓣	híi
telegraph	𐓨𐓘͘𐓺𐓟𐓤'𐓘͘𐓮𐓘𐓤𐓣	mą́zekˀąsaaki
telegraph: send there by ~	𐓨𐓘͘𐓺𐓟𐓤'𐓘͘𐓮𐓘𐓤𐓣 𐓵𐓟 𐓤𐓘𐓹𐓟	mą́zekˀąsaaki ðée káaɣe
telephone	𐓨𐓘͘𐓺𐓟𐓪𐓤𐓣𐓤𐓣𐓟	mą́zeohkíhkie
television	𐓨𐓘͘𐓺𐓟 𐓣́𐓟 𐓪𐓷𐓘𐓰𐓪͘𐓟	mą́ze íe ówatǫe
tell (e.g., news, stories)	𐓪𐓵𐓘𐓤𐓟	oðáake
tell about oneself	𐓪𐓤𐓣𐓧𐓘𐓤𐓟	ohkílaake
tell someone not to (do something)	𐓣𐓻𐓪𐓯𐓣	ížoši
tell someone to do something	𐓟, 𐓲𐓟 𐓟	ée, hce ée
tell the truth	𐓷𐓣͘𐓤𐓯𐓟	wį́kše
tell untruths	𐓣𐓸𐓪𐓬𐓟	íxope
tell-all	𐓰𐓘𐓰𐓘͘𐓻𐓣͘ 𐓮́𐓤𐓣 𐓪𐓵𐓘𐓤𐓟	táatąžį́ śki óðaake
telling: a ~ of something	𐓪𐓵𐓘𐓤𐓟	óðaake
temper: bad ~	𐓷𐓘𐓵𐓣𐓧𐓘͘ 𐓬𐓣𐓻𐓣	waðílą hpíiži
tempest	𐓰𐓘𐓲𐓟 𐓬𐓣𐓻𐓣, 𐓰𐓘𐓲𐓟 𐓪𐓡𐓟𐓮𐓘𐓻𐓣	htaacé hpíiži, htaacé óhesaži
ten, tenth	𐓧𐓟𐓜𐓘͘	lébrą
ten cents	𐓷𐓘𐓵𐓘𐓷𐓘 𐓧𐓟𐓜𐓘͘	waðáawa lébrą
tend (take care of)	𐓘𐓰𐓪͘𐓬𐓟	átǫpe
tend someone	𐓘𐓰𐓤𐓣𐓰𐓪͘𐓬𐓟	átkitǫpe
tender	𐓷𐓘𐓲'𐓟𐓤𐓘	wacˀéka
tent	𐓡𐓘𐓮𐓤𐓘𐓲𐓣, 𐓷𐓘𐓻𐓘𐓣𐓲𐓣	haaskáhci, wažáihci
tepid	𐓯𐓰𐓘𐓤𐓟	štáke
terminate an activity preparatory to departing	𐓩𐓘͘𐓻𐓣͘	nąąžį́
terrapin	𐓤𐓟	hkée
test (verb)	𐓣𐓤'𐓶𐓲𐓟	íkˀuce
test: put each other to a ~	𐓘𐓤𐓣𐓘𐓮𐓘͘𐓲𐓣	áhkiasąci
test: put someone to the ~	𐓘𐓮𐓘𐓲̨𐓣, 𐓤𐓘𐓮𐓪͘𐓲𐓣	ásac̨i, kasǫ́ci
testicles	𐓯𐓪͘𐓲𐓪𐓮𐓪	šǫcóso
testimony: give ~	𐓷𐓘𐓷𐓟𐓬𐓘𐓡𐓪͘	wawépahǫ
text: document or paper containing ~	𐓷𐓘𐓧𐓟𐓺𐓟	waléze
thank you	𐓷𐓟𐓷𐓣𐓩𐓘͘	wéewiną
thank you ('feel good' used as an equivalent of thank you)	𐓤𐓣𐓵𐓘𐓧𐓣͘	kiðálį
thankful	𐓪𐓷𐓟𐓩𐓘	óweena
thankful: be ~ (for)	𐓷𐓟́𐓟𐓩𐓘͘	wéeną
Thanksgiving Day	𐓮𐓶𐓤𐓘𐓰𐓘͘ 𐓡𐓘͘𐓬𐓘	súhkahtąą hą́ąpa
that (complementizer connecting subordinate clause to the following main clause𐓲𐓟	che
that, this, those, these	𐓵𐓟	ðée
that, those (near you)	𐓯𐓟	šée
that, those (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	𐓰𐓪𐓷𐓘	tówa
that direction	𐓟𐓨𐓘͘𐓰𐓘	émąhta
that one, that person (emphatic pronoun)	𐓟	ée
that only	𐓟𐓩𐓘	éená
that way	𐓤𐓘𐓤𐓪͘	kaakǫ́
that way: along ~	𐓟 𐓰𐓘𐓡𐓘	ée htáha
that yonder	𐓤𐓪𐓰𐓘	kóota
that's all	𐓤𐓘𐓤𐓪͘𐓩𐓘͘	kaakǫną́
that's why	𐓟𐓩𐓘	eená
the (no exact Osage equivalent; see positional articles; subject markers; that; this)		
theater	𐓪𐓷𐓘𐓰𐓪͘𐓣͘𐓲𐓣	ówatǫįhci
theater presentation	𐓪𐓷𐓘𐓰𐓫	ówatoį
theft	𐓷𐓘𐓨𐓘͘𐓵𐓪͘	wamą́ąðǫ
their, theirs	𐓣𐓰𐓘, 𐓣𐓰𐓘𐓬𐓣	íhta, íhtaapi
their place: at ~	𐓟𐓲𐓣 𐓬𐓘	ecí pa
them (There is no direct equivalent in Osage)		
themselves (see reflexive prefix)		
then, and then immediately or right away	𐓤𐓘𐓵𐓪͘	kaðǫ́
then: and ~	𐓤𐓘𐓵𐓪͘, 𐓤𐓘𐓤𐓪͘ 𐓰𐓘͘	kaðǫ́, káakǫ tą
there	𐓵𐓟𐓤𐓘	ðeeká
there: be ~	𐓟𐓲𐓣	ecí
there: get, stand, or stay ~ (as in a room or a place 0	𐓪𐓩𐓘͘𐓻𐓣͘	oną́ąžį
there: go, come, or arrive ~ (motion accomplished)	𐓘𐓡𐓣	ahí
there: go ~ (motion underway)	𐓘𐓵𐓟	aðée
there: over ~	𐓟 𐓰𐓘𐓡𐓘, 𐓤𐓘𐓵𐓪, 𐓤𐓪𐓰𐓚𐓤𐓟	ée htáha, kaaðó, kootáįke
there (near you)	𐓯𐓟, 𐓯𐓟𐓵𐓪͘	šé, šeeðǫ́
therefore	𐓵𐓟𐓤𐓘𐓰𐓘͘, 𐓟𐓩𐓘, 𐓟𐓰𐓘𐓩𐓘, 𐓟𐓤𐓪͘, 𐓟𐓰𐓘͘, 𐓤𐓘𐓤𐓪͘ 𐓰𐓘͘	ðekáhtą, eená, éetana, ékǫ, étą, káakǫ tą
these	𐓵𐓟, 𐓵𐓟𐓤𐓘	ðee, ðeeká
these, this (animate or inanimate, emphatic or expressing certainty or immediacy)	𐓤𐓘	káa
these scattered	𐓵𐓟𐓤𐓟	ðéeke
they (There is no direct equivalent in Osage).		
they too	𐓟𐓯𐓤𐓣𐓰́𐓘͘	eeškit́ą
thick	𐓯𐓪𐓤𐓘	šooká
thick skin	𐓡𐓘 𐓯𐓪𐓤𐓘	háa šooká
thief	𐓷𐓘𐓨𐓘͘𐓵𐓪͘𐓯𐓰𐓘͘	wamą́ąðǫštą
thievery	𐓷𐓘𐓨𐓘͘𐓵𐓪	wamą́ąðo
thigh	𐓮𐓣𐓺𐓪	sízo
thin	𐓜𐓟𐓤𐓘, 𐓧𐓘𐓻𐓣͘	bréhka, lažį́į
thing	𐓰𐓘͘𐓮𐓤𐓘	tą́ąska
thingamajig	𐓰𐓘͘𐓮𐓤𐓘	tą́ąska
thing(s)	𐓰𐓘𐓰𐓘͘	táatą
things: many or lots of ~	𐓰𐓘𐓰𐓘͘ 𐓪𐓲𐓣	táatą ochí
things: small ~	𐓰𐓘𐓰𐓘͘𐓻𐓣͘	táatąžį́
things one has to do	𐓪𐓷𐓪͘	ówǫ
things scattered around (as in a messy house)	𐓪𐓬𐓪𐓲𐓟	ópoce
think	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
think about	𐓟𐓵𐓟, 𐓟𐓤𐓣𐓵𐓟, 𐓣́𐓵𐓣𐓧𐓘͘, 𐓪𐓵𐓘͘𐓲𐓟𐓯𐓣, 𐓷𐓘𐓵𐓣𐓧𐓘͘	éðe, ékiðe, íðilą, óðąąceši, waðilą
think about again	𐓪𐓵𐓪𐓡𐓘𐓤𐓟 𐓣𐓵𐓣𐓧𐓘͘	oðóhake íðilą
think about something	𐓰𐓘𐓰𐓘͘ 𐓣𐓵𐓣𐓧𐓘͘	táatą íðilą
think ill of someone	𐓬𐓣𐓻𐓣 𐓘𐓻𐓣͘	hpíiži ažį́
think on	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
think oneself to be a certain way (?)	𐓘𐓤𐓣𐓻𐓣	áhkiži
think regarding someone	𐓘𐓻𐓣͘	ažį́
think so	𐓟𐓤𐓣𐓵𐓟	ékiðe
thinking	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
third	𐓷𐓟𐓵𐓘𐓜𐓣͘	wéðaabrį
thirsty: be ~ for	𐓣𐓬𐓶𐓺𐓟	ípuze
thirteen, thirteenth	𐓧𐓟𐓜𐓘͘ 𐓘𐓧𐓣͘ 𐓵𐓘𐓜𐓣͘	lébrą álįį ðáabrį
this	𐓵𐓟, 𐓟, 𐓤𐓘	ðée, ée, káa
this time	𐓵𐓟𐓰𐓸𐓘͘	ðétxą
thorns, thorny	𐓷𐓘𐓸𐓘𐓤𐓘	waxáka
thorny tree	𐓻𐓘͘ 𐓷𐓘𐓸𐓘𐓤𐓘	žą́ą waxáka
thoroughfare	𐓪𐓻𐓘͘𐓤𐓟	óžąke
those, that	𐓵𐓟	ðée
those, that (near you)	𐓯𐓟	šée
those, that (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	𐓰𐓪𐓷𐓘	tówa
those from around here	𐓵𐓟𐓤𐓣𐓡𐓘	ðeekíha
thought	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðílą
thoughtlessly	𐓣𐓵𐓣𐓧𐓘͘ 𐓵𐓣͘𐓤𐓟	iðílą ðįké
thousand	𐓻𐓘͘𐓤𐓪𐓤𐓟	žą́ąhkoke
thrash	𐓪𐓲𐓣͘	ochį́
thread	𐓡𐓘𐓷𐓟𐓘𐓺𐓟	háaweáze
three	𐓵𐓘𐓜𐓣͘	ðáabrį
threshold	𐓲𐓣𐓻𐓟𐓬𐓟	hcižépe
throat	𐓰𐓪𐓲𐓟	tóoce
throat: sore ~	𐓰𐓪𐓲𐓟 𐓩𐓣𐓟	tóoce níe
through (direction).	𐓡𐓘	ha
through: be ~ (be finished).	𐓵𐓣𐓯𐓰𐓘͘	ðiištą́
through: go ~ (as a road).	𐓪𐓬𐓸𐓘͘	opxą́
through the action of.	𐓣-	í-
throughout: be ~ an area or a group of people.	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
throughout: be ~ a person's body.	𐓪𐓨𐓘͘𐓵𐓣͘	omą́ðį
throw.	𐓤𐓣͘𐓵𐓟,𐓪͘𐓵𐓘	kį́įðe,ǫ́ǫða
throw away.	𐓪͘𐓵𐓘,𐓪͘𐓵𐓟	ǫ́ǫða,ǫ́ǫðe
throw each other away.	𐓤𐓣𐓪͘𐓵𐓟,𐓪𐓤𐓣𐓪͘𐓵𐓟	hkíǫðe,ohkíǫðe
throw off (suddenly severing or moving something or someone from something).	𐓪𐓤𐓘𐓸𐓬𐓘	okáxpa
throw oneself into.	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
throw someone away.	𐓪𐓤𐓣𐓪͘𐓵𐓟	ohkíǫðe
throw up due to overheating.	𐓪𐓤𐓪𐓬𐓘	ókohpa
thumbprint: make a ~ on a document in lieu of a signature	𐓣𐓤𐓶𐓮𐓬𐓟	íkuspe
thumb hard	𐓰𐓘𐓯𐓟𐓵𐓟	taašéðe
thumping sound (e.g. footsteps).	𐓡𐓟𐓣𐓲𐓟	heíce
thunder (noun).	𐓧𐓪͘𐓡𐓪͘,𐓧𐓪͘𐓡𐓪𐓰𐓘͘	lǫǫhǫ́,lǫǫhóohtą
thunder (verb).	𐓧𐓪͘𐓡𐓪𐓰𐓘͘	lǫǫhóohtą
Thunder clan, person of the Thunder clan.	𐓧𐓪͘ 𐓣𐓩𐓣𐓤𐓘𐓯𐓣𐓤𐓘	lǫ́ǫ iníhkašika
thunder people.	𐓧𐓪͘ 𐓩𐓣𐓤𐓘𐓯𐓣𐓤𐓘	lǫ́ǫ níhkašika
thunder: grandmother~.	𐓣𐓤𐓪 𐓧𐓪͘	iihkó lǫ́ǫ
thunder: lots or large amount of~.	𐓧𐓪͘ 𐓡𐓶	lǫǫ húu
Thursday.	𐓡𐓘͘𐓬𐓘 𐓷𐓟𐓰𐓪𐓬𐓘	hą́ąpa wétoopa
thus.	𐓟𐓰𐓘𐓩𐓘,𐓟𐓤𐓪͘	éetana,ékǫ
thus with certainty.	𐓤𐓘𐓤𐓪͘	kaakǫ́
tick (e.g., a clock or an insect making noise)	𐓰𐓘𐓰𐓘𐓺𐓟	htáhtaze
ticking noise against metal (a made by a typewriter)	𐓨𐓘͘𐓺𐓟 𐓰𐓘𐓰𐓘𐓺𐓟	mą́ze htáhtaze
ticking sound	𐓰𐓘𐓰𐓘𐓺𐓟	htáhtaze
tickle	𐓵𐓣𐓤'𐓣𐓵𐓟	ðikˀíðe
tidy, tidy up.	𐓵𐓶𐓮𐓰𐓘𐓤𐓪	ðuustáko
tie (e.g. shoelaces).	𐓪𐓵𐓘𐓯𐓤𐓟, 𐓪𐓤𐓘𐓯𐓤𐓟	oðáške, okáške
tie down (e.g. a drum).	𐓬𐓘𐓸𐓲𐓟	paaxcé
tie in a bundle something specific, tie stuff up as a bundle.	𐓪𐓬𐓟𐓰𐓸𐓘͘	opétxą
tie the drum; (involves wrapping the drup ip and tying it).	𐓲𐓟𐓹𐓟𐓩𐓣 𐓤𐓘𐓹𐓟	céɣenii káaɣe
tie to something	𐓘𐓤𐓘𐓯𐓤𐓟	ákaške
tie up.	𐓘𐓤𐓘𐓯𐓤𐓟,𐓘𐓬𐓟𐓰𐓸𐓘,𐓵𐓶𐓯𐓘𐓷𐓣͘,𐓤𐓘𐓯𐓤𐓟,𐓪𐓵𐓣𐓩𐓘͘,𐓪𐓤𐓘𐓯𐓤𐓟	ákaške,ápetxa,ðuušáwį,kašké,oðíiną,okáške
tight,tightly.	𐓮𐓘𐓤𐓣	saakí
tight (inebriated).	𐓧𐓪͘𐓵𐓣͘,𐓪𐓨𐓘͘𐓣͘𐓻𐓣͘	lǫ́ðį,omą́įžį
timbers.	𐓺𐓘͘	zą́ą
time: a long ~ (which has passed).	𐓤𐓘𐓯𐓣	káaši
time: at this ~.	𐓵𐓟𐓰𐓸𐓘͘𐓲𐓣	ðetxą́ci
time: be at that ~.	𐓟𐓲𐓣	ecí
time: from this ~ on.	𐓵𐓟𐓰𐓸𐓘͘𐓡𐓘	ðetxą́ha
time: in or near that ~.	𐓟 𐓰𐓘𐓡𐓘	ée htáha
time: it is ~.	𐓟𐓰𐓸𐓘͘, 𐓨𐓣͘𐓵𐓪𐓰𐓘	éetxą, mįįðóhta
time: it's ~ again.	𐓟𐓤𐓣𐓰𐓸𐓘͘	ékitxą
time: this ~.	𐓵𐓟𐓰𐓸𐓘͘	ðétxą
time after time.	𐓪𐓤𐓣𐓟𐓰𐓸𐓘͘𐓰𐓸𐓘͘, 𐓪𐓰𐓸𐓘͘𐓰𐓸𐓘͘	ohkíetxątxą, ótxątxą
time of day (as told by the clock).	𐓨𐓣͘𐓪𐓵𐓘𐓤𐓟	mį́įoðaake
tinder.	𐓻𐓘͘𐓲𐓶𐓤'𐓘	žąąhcúkˀa
tiny.	𐓷𐓘𐓡𐓪𐓯𐓲̌𐓘𐓻𐓣͘	wahóščažį
tip (of an object).	𐓬𐓘𐓮𐓶, 𐓣𐓰𐓘𐓹𐓟	hpasú, ihtáɣe
tipi.	𐓷𐓘𐓻𐓘𐓣𐓲𐓣	wažáihci
tire (of a vehicle).	𐓲𐓟𐓵𐓟	hcéðe
tired.	𐓤𐓘𐓮𐓤𐓣𐓤𐓟, 𐓮𐓤𐓣𐓤𐓟	kaaskíke, skíke
tired: be ~ of.	𐓣𐓜𐓘͘	íibrą
tired: become or be ~ of.	𐓪𐓵𐓶𐓲'𐓘𐓤𐓟	oðúucˀake
tired: feel ~.	𐓪𐓻𐓟𐓵𐓟	óžeðe
to.	𐓲𐓣, 𐓣͘𐓤𐓯𐓣, 𐓤𐓣, 𐓤𐓯𐓣	ci, įkši, ki, kši
toad.	𐓩𐓣𐓻𐓶 𐓪𐓸𐓘𐓤𐓟	níižu oxáke
toad: horned ~.	𐓤𐓘𐓧𐓪͘𐓟𐓻𐓟	kalǫ́eže
tobacco.	𐓩𐓘͘𐓩𐓶𐓡𐓶	nąnúhu
tobacco bag.	𐓩𐓘͘𐓩𐓣͘𐓪͘𐓤𐓶𐓻𐓶, 𐓩𐓘͘𐓩𐓶𐓡𐓶𐓪𐓻𐓶𐓡𐓘	nąnįǫ́kužu, nąnúhuoožúhaa
tobacco boss (whos sits to the left of the roadman in a peyote meeting).	𐓩𐓘͘𐓩𐓣͘𐓪͘𐓬𐓘 𐓪𐓧𐓣͘	nąnįǫ́pa olį́į
tobacco pouch.	𐓩𐓘͘𐓩𐓣͘𐓪͘𐓤𐓶𐓻𐓶	nąnįǫ́kužu
today.	𐓡𐓘͘𐓬𐓘, 𐓡𐓪͘𐓬𐓘 𐓵𐓟	hą́ąpa, hǫ́ǫpa ðé
toe.	𐓮𐓣𐓬𐓪	siihpó
together: place ~ (as when cooking two or more items together).	𐓪𐓵𐓪𐓤𐓣𐓵𐓟	oðóhkiðe
toilet, toilet room.	𐓪𐓻𐓟𐓲𐓣	ožehci
toilet paper.	𐓣𐓤𐓘𐓲𐓣	íkahci
told: as it is or was ~ (e.g. as in a story or in the Bible). (see reportive markers)		
tomato.	𐓤𐓘͘𐓵𐓟 𐓻𐓶𐓟	hką́ąðe žúe
tomorrow.	𐓤𐓘𐓮j̨́	kaasj̨́
tongue.	𐓵𐓟𐓺𐓟	ðéeze
tongue-tied: be ~, tongue splayed or split.	𐓵𐓟𐓺𐓟 𐓪𐓬𐓘𐓮𐓣𐓤𐓟	ðéeze opásike
tonight.	𐓡𐓘͘𐓵𐓟	hąąðé
Tonkawa (tribe or tribal member).	𐓷𐓘𐓵𐓘𐓩𐓣	waðánii
too (also)	𐓯𐓤𐓣,-𐓯𐓤𐓣𐓰𐓘͘	ški,-škítą
too (excessively).	𐓷𐓘𐓧𐓣͘	wálį
too: he/she, it, or they ~.	𐓟𐓯𐓤𐓣𐓰𐓘͘	eeškítą
too much or too long: person who talks ~.	𐓣𐓟 𐓮𐓲𐓟𐓲𐓟, 𐓣𐓟𐓯𐓰𐓘͘	íe scece, íeštą
tool.	𐓷𐓟𐓤𐓣𐓤'𐓪͘	wéhkikˀǫ
tool for cutting wood.	𐓷𐓟𐓬𐓘𐓮𐓟	wépaase
tool used to make something	𐓷𐓟𐓤𐓘𐓹𐓟	wékaaɣe
tooth.	𐓡𐓣	híi
toothless.	𐓡𐓣 j𐓤𐓟	híi jke
top, on top.	𐓘𐓤𐓘𐓡𐓘	ákaha
