a, an	wį, wįxce
she too	eeškítą
shears	hpahúusehtąą
sheathe	okˀǫ́he
sheep	htaaská
shinny stick, the curved stick used to play kasini (shinny)	ohkíce
shiny	xą́xą
shiny and smooth (as a lake surface)	štáha
ship	páce
shirt	haaská
shit (defecate)	žé
shiver	ðibrúbruɣe
shoat	hkóhkosa
shock	ðusáaki
shock someone	hóšechie
shock someone(as with suddenly emerging news)	pólǫðį
shocked	pólǫðį
shocking, shocking news or report	hóšechie
shoemaker	hǫ́ǫpekaaɣe
shoes	hǫ́ǫpé
shoot (a gun or bow and arrow), shoot at	hkúce
shoot at each other, shoot each other	hkihkúce
shooting: by ~	pó-
shop (commercial establishment)	watǫ́ehci
shop, (go shopping)	waðúwį aðée
short, short and small	čáahpa
short distance: a ~ away	áška
short of breath, shortwinded	hehé
shot: administer a ~	mąhká oðíkˀe
shotgun	wahóohtą
shotgun: breechloading ~	wahóohtą opáaxǫ
shoulder	ábro
shoulder blade	áahu
shout	hóohtą, pá
shove, shove someone's head quickly in anger	taašéðe
shovel	hcúke
show (intransitive)	heį́į, wahcį́į
show (noun)	ówatoį
show someone how to do something	kǫ́ze, kšíǫze
show things	táatą paahą́
shower (of rain)	níižužį́
showing: be ~	wahcį́į
shroud	haažúuce
shut: pull ~	áðiitą
shut (e.g., one's eyes)	ápisą
shut by pulling	áðiitą
sick: be ~	íhpiiži, íhuheka
sick: be ~ from	ǫ́ǫ
sick: be ~ with	íhpiiži, íhuheka
sick: make ~	húheka káaɣe
sick from eating too much	ókahpo
sick with fever	áachi
sicken (transitive)	húheka káaɣe
sickly	ókawai
sickness	húheka, óhuheka
side: (on the) other ~	ákahahta, ámąhta, ámąhtaha
sides: take ~ with respect to someone	íkie
sieve: grain ~	wacúe ikaažį
sigh (as wind through trees)	xowí
sight	wawéeðe
sight: have normal ~	wawéeðe
sign (e.g., a document)	šáake oðį́įke, žáže kikáaɣe
sign with a thumbprint (in lieu of a signature)	íkuspe
signature	žáže, žáže wéleze
signature: affix one's ~	žáže kikáaɣe
signify	ékǫ
silly: talk someone ~	páalǫðį
silver	mą́zeska
similar in appearance to	íkǫska
similar to	ékǫ
since (because) (often not expressed directly, but implied by the logical or pragmatic relationship of one clause to another; for examples, see under tasli 'burn', toa 'some', weena 'be thankful, grateful', wehice 'far')****	tą
sing	waaðǫ́
sing (like a bird)	hóohtą
sing dancing songs	xóhka
singer: be a ~	waaðǫ́ hpíǫ
singers and drummers	xóhka
singers: female ~	oðáazo
singers of dancing songs, singers at a dance	x́ohka
singing: be skilled at ~	waðǫ́ hpíǫ
single	ohką́ci, wį
single (unmarried) person	kažą́si [JOÐ]
single item or event: that ~	wįįðé
Sioux (tribe or tribal member)	hpápaxǫ
sister: baby ~	asíhpa
sister (specifically, older sister of female)	wižǫ́ą
my older sister (speaker is female)	wihtą́ke
your older sister (addressee is female)	ðižǫ́ą or ðihtą́ke
'her older sister' sister (specifically, older sister of male)	ižǫ́ą or ihtą́ke
'my older sister' (speaker is male)	wihtą́ke
'your older sister' (addressee is male)	ðihtą́ke
'his older sister'	ihtą́ke
sister (specifically, younger sister) - my younger sister	wihtéžį
your younger sister	ðihtéžį
his/her younger sister	ihtéžį
sister-in-law (specifically, sister-in-law of male)- 'my sister-in-law' (speaker is male)	wihą́ka
your sister-in-law' (addressee is male)	ðihą́ka
'his sister-in-law' sister-in-law (specifically, sister-in-law of female)	ihą́ka
'my sister-in-law' (speaker is female)	wisíkxą, šíkxą
'your sister-in-law' (addressee is female)	ðisíkxą, šíkxą ðíhta, ðisíkxą
'her sister-in-law'	isíkxą or šíkxą
sit	lį́į
sit down	lį́įke, olį́į
sit in a place	olį́į
sit suddenly	lį́įke
sit upon	álįį
six	šáhpe
sixteen, sixteenth	lébrą álįį šáhpe
sixty, sixtieth	lébrą šáhpe
skilled: be ~ at	hpíǫ
skilled: be ~ at doing things	wahpíǫ
skillfully	ðáalį
skin (verb) (as an animal)	ámaxa
skin(of an animal)	háa
skin(of an animal): thick ~	háa šooká
skin(of a person or animal)	xúhaa
skinny (e.g., a person or a tree)	lažį́į
skirt: wraparound ~	wáakipetxą
skirt with ribbon work or other decorations	wáache, wáakipaache
skirting the edge of something	ákiɣe
skunk	mą́ka
sky	mą́ąɣe, hkéðo
slam (transitive), slam closed	kaasį́ce
slam on something	ákaasį́ce
slander (verb)	hkiláažoži, ðaažóži
slap (noun)	įcé bráaska, įcé bráze
slave	mą́ąhpiiži
slay	cˀéðe
sleep (noun)	žą́ą
sleep (verb)	žą́ą, žį́įhe
sleep: lie down to ~	žą́ą
sleep-matter-in-eyes	įcóolą
sleep over (stay all night)	žą́ą
sleep sitting up	lįlį́įe, žą́kxa žįhé
sleepy: be ~	įįštáha cˀóka
sleepy-in-eyes	įcóolą
sleet	ną́ɣežį, niižúpa
sleigh	žą́ą ákaastowe
slender	lažį́į
slice (verb)	kaascú
slice by using a sharp edge	pascé
slice meat (as for a barbecue)	wakái
sliced (adjective)	žáhta
slick	štáha
slide (intransitive)	mašcúce, ostá
slightly	ékǫ
slim	bréhka, lažį́į, saakížįka, wahóšce
slip (intransitive)	ostá
slip or slip away: let ~	ðikšį́ce
slippery	mąąštáha
slit (verb)	kaascú, pážahta
sloppy, slouchy	ɣǫ́ǫce
slow (adjective)	lúži, ókxąži, scúuce, wascúuce
slow: take or make it ~	lúžihkiðe
slow about catching up	ókxąži
slow down (intransitive)	lúžihkiðe
slower	lúži
slower: make ~, slow down	lúži káaɣe
slowly	lúži, wascúuce
slowpoke, slow person	ošcúuce
slumber (verb)	žį́įhe
sly, on the sly, be sly	nąlǫ́ǫha
small	wahókˀa, wahóšce, xóhtą, -žį, žįká
small: quite or very ~	wahóščažį
small amount	hépe, hépežį, huužį, oh́epe, wahókˀa
small amount of something	-žį
small amount of number	čóopa
small change (money)	ošpéžį
small items, pieces, or things	ošpéžį
small number of (e.g., people)	huužį
smaller: make ~	ðuuhépe
smart	waðíląhtąą
smear on	stáðe
smell (N and intr.)	brą́
smell (transitive)	ðibrą
smell: acrid or sour ~	zą́zi
smell: cause to ~, as in making cedar smoke for a cleansing or blessing	oðíbrą
smell: have an offensive ~	ɣoį́
smell bad	žą́ąže
smell (good or bad) from heating	táabrą
smell of something cooking (noun)	watáabrą
smell unpleasantly sour	žą́xta
smile (noun)	íizažį
smoke (noun)	šóce
smoke (intransitive)	waðáašoe
smoke (transitive)(e.g., tobacco)	ðaahtą́, ðaašóe
smoke (transitive), as in making cedar smoke for a cleansing or a blessing	oðíbrą
smoke: make a ~ (e.g., roll a cigarette)	nąnį́ǫpa káaɣe
smoky	šóce, xóce
smooth	stá, stáko
smooth and shiny (as a lake surface)	stáha
smooth by pressing (iron)	puštáha
smooth out	ðuustáko
smooth something (e.g., cloth with an iron)	wapúštaha
smoothed out (e.g., icing on a cake)	bráaða
smoothing: by ~	pu-
smother with smoke or dust	íkaskike
snake	wécˀa
snap in two	ðiixǫ́
sneak off	hkóopše
sneaky ~	nąlǫ́ǫha
sneeze (verb)	héchį
snicker (verb)	íixažį
snoop (v,n), snoopy	océštą
snore (verb)	lóce
snot	hpalį́
snotty	xtoe
snout	hpá
snow (noun)	pá, pá húðe
snow (verb)	pá húðe
snowball	pahúkaaski
snowfall	pá húðe
snowman	pánihkášie
so (therefore, that's why)	éetana, káakǫ tą
so! (an exclamation used especially in storytelling)	hą́ą
so very, so very much	wálį
soap	wépukxa
soap: dish ~	hį́įce íðuuža wépukxa
soar, as an eagle	káawįɣe
sober	ną́ąɣeska
sober up	ną́ąɣeskaahkiðe
socially distant from	ákahahta
society: secret ~	nǫ́hǫžį
socks	hį́įǫke, hį́įǫke xóe, hǫǫpé okáwiɣe
soda	niikáapxohke
sodden	špǫ́ǫ
sofa	ál̨įįscee
soft	štǫ́ka
soft drink	niikáapxokeoožú
soften, become soft, softened	špǫ́ǫ
soften by pushing on	paastǫ́ka
softly: touch ~ as with a feather fan	ðiihcé
soil (noun)	mą́įhka
soiled	wasúhuži
soldier	áhkita, áhkita ną́ąžį, wanáše
soldier dance	áhkitaną́ąžį waachí
sole (solitary)	ohką́ci
solely	na, ną́ški, wįįðé
solicit	waatá
solid	saaki
solitary	ohką́ci
solo dance by one who has been in a war	wašóše achí nąąžį́
some	hépe, tóa
some day, some days	hǫ́ǫpa wį
someone (whose name one doesn't remember)	tą́ąska
something	táatą
something (the name of which one doesn't remember)	tą́ąska
something scattered	ðéeke ci
sometime	hǫ́ǫpa wį
sometimes	ðéeke ci, hǫ́ǫpa wį
somewhat	ékǫ
son: baby ~ (used by a woman of her youngest son if there are at least two older sons)	kxáhpą
son: first or eldest	ilǫ́ǫhpa, ilǫ́ǫhtą
son: second	kšǫka
son: third (or subsequent son)	kxáke, kxážį
son (without reference to age)	
'my son'	wižį́ke
'your son'	ðižį̌ke
'his/her son'	ižį́ke
song	waaðǫ́
song: peyote ~(song sung in a peyote meeting)	hkihkǫ́ze waaðǫ́
songs: calling	wapą́ waaðǫ́
songs: sun	mį́į̌wáaðǫ́žį
son-in-law	
'my son in law'	wihtǫ́ce
'your son in law'	ðihtǫ́ce
'his/her son in law'	ihtǫ́ce
Sonny (nickname)	wižį́ke
soothing	štáke
sore (noun)	ðéskali
sorry: be ~(used to apologize)	ékǫ kǫ́ðaaži
sorry: feel ~for	áacexcį, ðakˀéðe
sorry: feel ~ for one's own or someone close	ðakˀékiðe
sort(e.g., beans, clothing to be laundered)	hpahíke, paahí
sort: what	táatą
soul	waðílą, waną́ąɣe
sound (noun)	ónie
sound: beating	hcíce
sound out	hóotá
sound: make animal ~(e.g., sing like a bird, moo, bark, howl)	hóohtą
soup	htaaníi
soup: drink	ðaazúpe
soup: preparation of dried corn	watxázu
soup kettle	htaaníe céɣe
sour (taste)	cˀáaðe
sour odor: have a	žąxta
south	mąąšcé kšíhtaha
south wind	ákˀahúe
souvenir: keep as a ~	kícheðe
sow (e.g., seed in the ground)	oožú
space (in the sense of an unoccupied area)	óhką
space between things	ohtą́ná
spade (e.g., as gardening tool)	mą́ąhįspe, mą́ąhįsu
spade (suit in a deck of cards)	hámąsi, mą́ąhiąspe, mą́ąhįsu
Spaniard, Spanish person	íšpaðǫ
Spanish (adjective)	íšpaðǫ
Spanish language	íšpaðǫ
Spanish-speaking: any native ~person (especially Mexican)	íšpaðǫ
spank	ochį́
spare (verb)	ošcé
spare someone's life	toníðe
sparks that are struck	kaalį́įže
speak, speak of	íe
speak clearly	íe ðáawaska, íeska, wáðaaska
speak ill of	ðaažóži
speak of oneself	ohkílaake
speak positively of negetively of someone	íkie
speak to each other using (a certain language or the hands)	íhkihkie
speak to one's own relative, family, or friends	okíhkie
speak the truth	wį́kše
speak truthfully	íe wáðohta
speaking: clear or clean	íe wasúhu
special	óxta
special: make ~, give ~ status to	óxtaðe, óxtakiðe
special things	wahćeka
speckled	léže
spectacles	mą́ze įįštóolą
spectators	watǫ́pe
speech, make a speech	íe
spell of illness or trouble of any kind	ókaše
spider	hcéxope
spin, spin around	wįɣe
spirit	ilǫ́ɣe, ną́ąɣe, waną́ąɣe
spirit: holy	waną́ąɣe
spirit land	waną́ąɣe mą́žą
spit, spit on ,spit out	ðaakˀį́
spittoon	íluekˀí
splash, splatter	paasíke
splendid	ðáalį
splice	wápaase
splinter (verb)	paasíke
splinter from sudden impact	kaaxúɣe
splinters	žą́ąxeži, žą́ąžį
split (adjective)	žáhta
split (verb), split open	kaaxúɣe
split lip	íhaa žą́ąže
spoon	hcéhapa, hcúke
spoon: wooden	žą́ąhcuke
spotted	léže
spray	paasíke
spread (intransitive)	paaɣáce
spread (transitive)	ðíbra,ðuuláwa
spread on (as shoe polish)	ápuštai
spread open	paaɣáce
spread out (e.g., a cloth)	ðíbra,ðuuláwa
spread over, spread upon	áðubra
spreader for Osage headdress	htaasį́įce wahú
spring (natural water spring)	níini
Spring River [LFD]	tóoskue káxa
springtime, spring	pée
sprinkle (light rain)	niižúžu
sprinkle (rain lightly)	nuužúžu
sprite	míalǫška
square dance (noun)	sį́ka hpaléze
squash (vegetable)	hpǫ́ɣe, watxą́
squash (vegetable): yellow climbing ~(now extinct)	hpǫ́ɣe áace žį
squashed	tóže
squat and rounded	čáahpa
squaw corn (i.e., fresh corn)	hápa wacˀéka
squirrel	sį́ka
squirrel hunting	sįkóce
squirt	paasíke
staff used at peyote meetings	mą́ą
staff with feathers	haawálele, waléle
stagger	šéšeka
stain [LFD]	ðóðo
stairs	ánaašile
stalk (noun)	hú
stammer	ðéeze opásike
stand, be standing	náážį́
stand on top of (used in comparisons)	ánąąžį
stand there (as in a room or place)	oną́ąžį́
stand up (preparatory to departing)	nąąžį́
standard (flaglike object)	haawálele
star	mihkákˀe
star: evening	mikhákˀe hą tą ðįkšé
star: falling	mikhákˀe oxpáðe
star: little	mikhákˀežįka
star: morning	mikhákˀe hą́ąpa tą ðįkše, mihkákˀe ką́ąpaska tą, mikhákˀehtąą
star: morning of male	wáhce tooka
star: orbit of a	mikhákˀe óžąke
stare (at people)	watǫ́ scee
start	šką́
start: unable to ~(as a motor vehicle)	šką́aži
start (e.g., a car motor)	ðuušką́
start off	aðée
start to, suddenly start to	ahí
startle someone	hóšechie
startle someone (as with suddenly emerging news)	pólǫðį
startled	pólǫðį
startled: be ~	hósechie
startled: be ~(as by a dream of nightmare)	ohpáza
startling, startling news or report	hóšechie
starving: be	nǫhpéhicˀe
starwort (Liatris puncatata)	mąhká saakí
statement: make a ~, state	oðáake
stationery with writing	waléze
stay	mąðí, wáaspe
stay all night	žą́ą
stay-at-home	wáaspe
stay quiet	wáaspe
stay there (as in a room or place)	oną́ąžį
stay there! (command)	šée mąðį́
stay there (wait)	šée nąąžį́
steak	htáa taazíhi
steal (intransitive), steal things	wamą́ąðǫ
steal (transitive)	mąąðǫ́
stealing	wamą́ąðǫ
steam (intransitive)	opˀą́ða
steam (noun)	íopˀąðą
steam rising off standing water	opˀą́ða
steer	hceeskatátooka
step on, step in	ánąąžį
steps (stairs)	ánaašile
sterile (childless)	wéetaðaži
stick (intransitive)	káataace
stick (noun)	žą́ą, žą́ąxe, žą́ąxežį
stick: burial ~(red stick put into coffin at head or foot, made of special wood)	hką́ące žą
stick: shinny ~(curved stick used to play kašini)	ohkíce
stick: small	žą́ąxežį
stick out	ðuhtáža
stick to	ásta
stick to drive people or animals, stick that the tail dancers carry	wékaaži
stick used to rub the fire-making wood	hį́įcecˀohu
stickers, stickery	waxáka
sticky	wáasta, wáðastátá
stiff, stiffened	sáta
still (as a lake)	škaškáða
still (not in movement)	ška ðįké, šką́aži
still (yet)	šǫ́
stingy: be ~	kíwalį, wáli, wáwalį
stingy person: be a ~	wáwalį
stink, it stinks! (an exclamation)	ɣoį́
stinking odor: have a ~	žą́ąže
stinky	ɣoí, žą́xta
stippled	léže
stir (e.g., food when cooking)	oðókahi
stockings	hį́įǫke
stomach	hcéze, šúpe, wánǫbréoožú
stomach: part of the ~ resembling little ooks or pages (used for soup)	otáhpa
stomp the ground	nąąstá
stone (noun)	íi
stoop over	paacˀó, paakˀó
stoop over (as to touch toes)	paacˀį́
stop (interjection)	kaaštą́
stop (intransitive)	ðiištą́, panáa
stop (transitive)	ðiištą́, kaašǫ́ káaɣe, nąąžį́le, panáa
stop! wait! (used to get someone to pause or suspend an activity)	katxą́
stop an activity	kaaštą́
stop an activity involving the mouth	ðaaštą́
stop in	ahí
stop someone/something	nąąžį́
stop something (make it end)	ðiištą́ káaɣe
stop something (make it halt)	oðiitą
stopped up	ocˀį́ze
store (commercial establishment)	watǫ́ehci, watǫ́ǫžu
storm with strong winds	htaacé hpíiži, htaacé óhesaži
story	híko, óðaake
stove	océðe
stove: heating or wood-burning ~ (for heat, not for cooking)	hpéece íiška
stove: metal ~	mą́zewéoohǫ
straight (even)	stáko
straight (virtuous)	óðohtą, wáðohtą
straight: make oneself ~	óðohtąhkiðe
straight: talk ~	íe wáðohta, íeska
straight up	óðohtą
straighten, straighten out, straighten up	ðuustáko
strange	éeži
stranger	hpáðįhǫka, ohkíhce
strangle	tóoce oðį́įke
strawberry	pąąšcéka
stream: small ~	káxa žį
street	ošą́ke ohtą́ną
strength	waašką́
strength: having ~	waašką́htąka
strength: lack ~	waašką́ðįké
stretch (transitive)	ðiizíðe
stretch oneself	hkilíiziðe
strike (e.g., a drum or a person)	ochį́
Strike Axe (name of a band)	mą́ąhįspe
strike with	iichį́
striking: flint for ~	kaalį́įže
strip something (e.g., husk corn or peel a banana)	ðuušáake
striped	léze
strong	saakí, sísi, waašką́htąka
strong: very ~	óhesaži
stronger	óhesaži
strong-willed	níhka wažį́htąą
stroud (cloth)	haažúuce
struggle (verb)	íkˀice, waašką́
stuck: get or be ~ to	ásta
study	íkˀuce
stuff (see calence reducer prefix)	
stuffed up	ocˀį́ze
stumble	xíða
stumble and fall	hípše
stumble repeatedly	xíxiða
stun	ðusáaki, kaapxóhke, káasaaki
stutter	ðéeze opásike
subject markers	akxa, apa
subpar: be ~	oolą́ąži
subscribe	žáže kikáaɣe
succeed (follow); successive	okínąąžį
succeed anyway	óðąži
success: achieve ~ for someone	ðaalį kšíðe
successful: be ~	ðáalį káaɣe
successful: be ~ anyway	óðąži
successful: make someone ~	ðáalį kšíðe
succession (e.g., of chiefs; also one of anything following another)	opxą́pxą́
suck	ðaašóe
sudden application of force or sudden movement: by ~	kaa-
suddenly start to	ahí
suffer from	ǫ́ǫ
suffer from an illness	kihúheka
suffer from heartache	ðą́ąceníe
suffering (adjective)	waxpáðį
sufficient	kaakǫ́ną
sufficient, it's sufficient	kaašǫ́ka
sugar	žąąníi
sugar bowl	žąąníioožu
suicide: commit	cˀéhkiðe
suitable	ðąąché
suitable: be ~	íhta
suitcase	wáseska
sulk	lǫ́ǫ, ólą
sulk about another's good fortune	óxįį
sulky	ólą
sullen	ókˀą hpíiži
summer: last~	tookéce
summit	ákaha
sun	mį́į
sun seen straight overhead (high noon)	mįįðóhta
sunbeam	mįįtáašcuuce
Sunday	hą́ąpa wahkǫtáki, hą́ąpa wahkǫ́táki,
sundown	mį́įhiðe
sundown: toward ~ (as a a time of day)	mįįáðee ehtáha
sunflower	mį́įhtǫeli
sunglasses	mą́ze įįštóolą sápe
sunrise	mį́į íðǫpe
sunset	mį́įhiðe
superintendent, as of the Osage Agency	mą́ąhį htą́ą
superior: be ~ to in some quality (used in comparisons)	ánąąžį
supervise	oðóðe
supervise someone specifically in response to a formal request (e.g., taking care of the food for an event)	okášą
supervisor	oðówaðe, wakáaɣe
supper (evening meal only)	hpáze wanǫ́bre
supper (noon or evening meal)	wanǫ́bre
supply	okˀú
supply to folks	ókˀu
suppose: I ~ that	ska
surface	háa
surgery	hpáce
surprise: interjection expressing ~ (said to be a woman's exclamation)	íto
surround	ákiɣe, oðíši
surroundings: in the ~ of	ákahahta
surveillance: have under ~	nąlǫ́ǫha átǫpe
suus prefix [SUU]	kik-
swallow (verb)	ðaašcúe
swallow: a ~ or two (of a liquid)	huužį
swan	míɣa ska
swap (noun)	íhkihkawį
sweat	į́į olį́į, paɣice
sweat lodge, sweat house	ítaasuhu, į́įolįįhci
sweep (transitive)	kaacúxe
sweet (noun)	waskúe
sweet food or sauce	skúðe, waskúe
sweet milk	paazénii skúðe
sweet potato	tooscée, tóoskue, tóožuuce
sweet potato branch (Sweet Potato Creek)	tóoskue káxa
sweetheart	ðą́ące skúðe
sweets	waskúe
swim	hiiðá
swim: place to ~	ohíiða
swim supporting a child in the water	ðuškápa
swindle	mąɣíðe
switch off	ðuutáaži
sycamore	waséhtąhú
table	áwanǫbre
tablecloth	áwanǫbre aðibra
table hop (verb)	ákiɣe
taboo	wáalake (?)
tall (animal's tail or part of Osage dance costume), tail dancer	sį́įce
tail feathers: fan made out of ~	íhkuáci
take (select, take out)	ðuuzé
take (take along, carry)	kˀį́ahi
take a bath	hiiðá
take a seat	olį́į
take a wife	mį́įląke
take a husband	áðuɣe
take each other as relatives	ðótahkiðe
take as a sexual partner	ðúɣe
take as a wife	lą́ke
take away	aðj́aðee, aðį́mąðį, ðicíze
take away from someone something of his/her own	kilúuze
take away one's own	lúuze
take back (motion underway)	aðį́alee
take back there (motion accomplished)	aðį́akši
take care of	áhkihtǫpe, ákihtǫpe, ákitǫpe, átǫpe, ðakˀéðe, okášą, okáše, wanáše
take care of a meal oneself when asked to do so	óohkihą
take care of a task or an event	oðówaðe
take care of kids or children	žįkókašą
take care of oneself	óhkihkaše
Take Care of the Eagle (personal name)	xuðókašą
take charge of	ókašą
take clothes off (another person or oneself)	ðuušáwa
take down	ðuuhúuce, ðuxpáwį
take each other as relatives	ðótahkiðe
take hold of	oðį́įke
take hold of one another	mą́hki
take home (motion accomplished)	aðį́akši
take home (motion underway)	aðį́alee
take home for oneself, take home as one's own	ahkílįalée
take it slow	lúžihkiðe
take off a garment	ðiištówe
take off a person's clothes (e.g., a child's clothing before a bath)	ðuušáwį
take off by pulling	ðiištówe
take one's own	aláðį, aláðįðee, lúuze
take out something by removing, extracting, or lowering it	oðúuxpaðe
take sides with respect to someone	íkie
take someone's side	áhkie
take there (motion accomplished)	aðį́ahi
take there (motion underway)	aðį́aðee
take up for someone	áhkie
talk, talk about	íe
talk: clean or clear ~	íe wasúhu
talk about something positively or negatively	óie
talk clearly	íeska
talk for another, talk in the presence of others	ékie
talk for or against someone	áhkie, íkie
talk in one's sleep	žą́ą tái įké
talk someone silly	páalǫðį
talk straight	íe wáðohta
talk to each other using (a certain language or the hands)	íhkihkie
talk too long	íe scece
talk too much	óochiže
talk up or talk down, as when expressing one's emotions with respect to some topic	áhkie
talk with one another	ohkíhkie
talkative in excess	óochiže
talker (person who talks too much)	íe scece, íeštą
tall	húuscee, scéce
taller	húuscee
tallow	wélisaaki
tamales	wacúexǫ oðiši
tame (adjective)	wacˀéka
tame (verb) (e.g., a horse)	ðiwáštake
tangled	hkíhkįnį
tangled: get oneself ~ in	ohkíǫðe
tape (make a recording with an audio device)	íe ðuuzé
tape recorder, tape player	mą́zeie
tapping noise against metal (as made by a typewriter)	mą́ze htáhtaze
tapping sound	htáhtaze
tarantula	hcéxopehuuscee
task	ówǫ
taste (verb)	íkˀuce
tea	hpéže mą́hka
tea: buckeye ~	htáška hí
tea: cedar ~	xǫǫcénii
tea: green ~	hpéže htóho
tea: iced ~	hpéženii ną́ɣe oolą́
tea: peyote ~	wanǫ́brenii
teach	wakǫ́ze
teach something to someone	kǫ́ze, kšiǫze
teacher	wakǫ́ze
teachings	íe
tear (noun), teardrop	įįštábri
tear (verb)(rip)	kaabráze
tear apart (e.g., a tree limb from the trunk)	ðupáxa
tease: be a ~,tease someone	ðiihíce
tease people	waðíihice
teenager	hcéka nǫ́ǫ
teeter	sísiąðe
teeth	híi
telegraph	mą́zekˀąsaaki
telegraph: send there by ~	mą́zekˀąsaaki ðée káaɣe
telephone	mą́zeohkíhkie
television	mą́ze íe ówatǫe
tell (e.g., news, stories)	oðáake
tell about oneself	ohkílaake
tell someone not to (do something)	ížoši
tell someone to do something	ée, hce ée
tell the truth	wį́kše
tell untruths	íxope
tell-all	táatąžį́ śki óðaake
telling: a ~ of something	óðaake
temper: bad ~	waðílą hpíiži
tempest	htaacé hpíiži, htaacé óhesaži
ten, tenth	lébrą
ten cents	waðáawa lébrą
tend (take care of)	átǫpe
tend someone	átkitǫpe
tender	wacˀéka
tent	haaskáhci, wažáihci
tepid	štáke
terminate an activity preparatory to departing	nąąžį́
terrapin	hkée
test (verb)	íkˀuce
test: put each other to a ~	áhkiasąci
test: put someone to the ~	ásac̨i, kasǫ́ci
testicles	šǫcóso
testimony: give ~	wawépahǫ
text: document or paper containing ~	waléze
thank you	wéewiną
thank you ('feel good' used as an equivalent of thank you)	kiðálį
thankful	óweena
thankful: be ~ (for)	wéeną
Thanksgiving Day	súhkahtąą hą́ąpa
that (complementizer connecting subordinate clause to the following main clause)	che
that, this, those, these	ðée
that, those (near you)	šée
that, those (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	tówa
that direction	émąhta
that one, that person (emphatic pronoun)	ée
that only	éená
that way	kaakǫ́
that way: along ~	ée htáha
that yonder	kóota
that's all	kaakǫną́
that's why	eená
the (no exact Osage equivalent; see positional articles; subject markers; that; this)	
theater	ówatǫįhci
theater presentation	ówatoį
theft	wamą́ąðǫ
their, theirs	íhta, íhtaapi
their place: at ~	ecí pa
them (There is no direct equivalent in Osage)	
themselves (see reflexive prefix)	
then, and then immediately or right away	kaðǫ́
then: and ~	kaðǫ́, káakǫ tą
there	ðeeká
there: be ~	ecí
there: get, stand, or stay ~ (as in a room or a place 0	oną́ąžį
there: go, come, or arrive ~ (motion accomplished)	ahí
there: go ~ (motion underway)	aðée
there: over ~	ée htáha, kaaðó, kootáįke
there (near you)	šé, šeeðǫ́
therefore	ðekáhtą, eená, éetana, ékǫ, étą, káakǫ tą
these	ðee, ðeeká
these, this (animate or inanimate, emphatic or expressing certainty or immediacy)	káa
these scattered	ðéeke
they (There is no direct equivalent in Osage).	
they too	eeškit́ą
thick	šooká
thick skin	háa šooká
thief	wamą́ąðǫštą
thievery	wamą́ąðo
thigh	sízo
thin	bréhka, lažį́į
thing	tą́ąska
thingamajig	tą́ąska
thing(s)	táatą
things: many or lots of ~	táatą ochí
things: small ~	táatąžį́
things one has to do	ówǫ
things scattered around (as in a messy house)	ópoce
think	waðilą
think about	éðe, ékiðe, íðilą, óðąąceši, waðilą
think about again	oðóhake íðilą
think about something	táatą íðilą
think ill of someone	hpíiži ažį́
think on	waðilą
think oneself to be a certain way (?)	áhkiži
think regarding someone	ažį́
think so	ékiðe
thinking	waðilą
third	wéðaabrį
thirsty: be ~ for	ípuze
thirteen, thirteenth	lébrą álįį ðáabrį
this	ðée, ée, káa
this time	ðétxą
thorns, thorny	waxáka
thorny tree	žą́ą waxáka
thoroughfare	óžąke
those, that	ðée
those, that (near you)	šée
those, that (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	tówa
those from around here	ðeekíha
thought	waðílą
thoughtlessly	iðílą ðįké
thousand	žą́ąhkoke
thrash	ochį́
thread	háaweáze
three	ðáabrį
threshold	hcižépe
throat	tóoce
throat: sore ~	tóoce níe
through (direction).	ha
through: be ~ (be finished).	ðiištą́
through: go ~ (as a road).	opxą́
through the action of.	í-
throughout: be ~ an area or a group of people.	omą́ðį
throughout: be ~ a person's body.	omą́ðį
throw.	kį́įðe,ǫ́ǫða
throw away.	ǫ́ǫða,ǫ́ǫðe
throw each other away.	hkíǫðe,ohkíǫðe
throw off (suddenly severing or moving something or someone from something).	okáxpa
throw oneself into.	ohkíǫðe
throw someone away.	ohkíǫðe
throw up due to overheating.	ókohpa
thumbprint: make a ~ on a document in lieu of a signature	íkuspe
thumb hard	taašéðe
thumping sound (e.g. footsteps).	heíce
thunder (noun).	lǫǫhǫ́,lǫǫhóohtą
thunder (verb).	lǫǫhóohtą
Thunder clan, person of the Thunder clan.	lǫ́ǫ iníhkašika
thunder people.	lǫ́ǫ níhkašika
thunder: grandmother~.	iihkó lǫ́ǫ
thunder: lots or large amount of~.	lǫǫ húu
Thursday.	hą́ąpa wétoopa
thus.	éetana,ékǫ
thus with certainty.	kaakǫ́
tick (e.g., a clock or an insect making noise)	htáhtaze
ticking noise against metal (a made by a typewriter)	mą́ze htáhtaze
ticking sound	htáhtaze
tickle	ðikˀíðe
tidy, tidy up.	ðuustáko
tie (e.g. shoelaces).	oðáške, okáške
tie down (e.g. a drum).	paaxcé
tie in a bundle something specific, tie stuff up as a bundle.	opétxą
tie the drum; (involves wrapping the drup ip and tying it).	céɣenii káaɣe
tie to something	ákaške
tie up.	ákaške,ápetxa,ðuušáwį,kašké,oðíiną,okáške
tight,tightly.	saakí
tight (inebriated).	lǫ́ðį,omą́įžį
timbers.	zą́ą
