Note: This is the same as the other Osage dictionary on file, but with indications of tone, vowel-length and aspiration/preaspiration.

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
talk clearly	𐓣́𐓟𐓮𐓤𐓘	íeska
talk for another, talk in the presence of others	𐓟́𐓤𐓣𐓟	ékie
talk for or against someone	𐓘́𐓥𐓣𐓟, 𐓣́𐓤𐓣𐓟	áhkie, íkie
talk in one's sleep	𐓻𐓘̋͘ 𐓰𐓘́𐓣 𐓣͘𐓤𐓟́	žą́ą tái įké
talk someone silly	𐓬𐓘̋𐓧𐓪͘𐓵𐓣͘	páalǫðį
talk straight	𐓣́𐓟 𐓷𐓘́𐓵𐓪𐓱𐓘	íe wáðohta
talk to each other using (a certain language or the hands)	𐓣́𐓥𐓣𐓥𐓣𐓟	íhkihkie
talk too long	𐓣́𐓟 𐓮𐓲𐓟𐓲𐓟	íe scece
talk too much	𐓪̋𐓴𐓣𐓻𐓟	óochiže
talk up or talk down, as when expressing one's emotions with respect to some topic	𐓘́𐓥𐓣𐓟	áhkie
talk with one another	𐓪𐓥𐓣́𐓥𐓣𐓟	ohkíhkie
talkative in excess	𐓪́𐓪𐓴𐓣𐓻𐓟	óochiže
talker (person who talks too much)	𐓣́𐓟 𐓮𐓲𐓟𐓲𐓟, 𐓣́𐓟š𐓰𐓘͘	íe scece, íeštą
tall	𐓡𐓶̋𐓮𐓲𐓟̄, 𐓮𐓲𐓟́𐓲𐓟	húuscee, scéce
taller	𐓡𐓶̋𐓮𐓲𐓟̄	húuscee
tallow	𐓷𐓟́𐓧𐓣𐓮𐓘̄𐓤𐓣	wélisaaki
tamales	𐓷𐓘𐓲𐓶́𐓟𐓸𐓪͘ 𐓪𐓵𐓣š𐓣	wacúexǫ oðiši
tame (adjective)	𐓷𐓘𐓲'𐓟́𐓤𐓘	wacˀéka
tame (verb) (e.g., a horse)	𐓵𐓣𐓷𐓘́š𐓰𐓘𐓤𐓟	ðiwáštake
tangled	𐓥𐓣́𐓥𐓣͘𐓩𐓣͘	hkíhkįnį
tangled: get oneself ~ in	𐓪𐓥𐓣́𐓪͘𐓵𐓟	ohkíǫðe
tape (make a recording with an audio device)	𐓣́𐓟 𐓵𐓶̄𐓺𐓟́	íe ðuuzé
tape recorder, tape player	𐓨𐓘́͘𐓺𐓟𐓣𐓟	mą́zeie
tapping noise against metal (as made by a typewriter)	𐓨𐓘́͘𐓺𐓟 𐓱𐓘́𐓱𐓘𐓺𐓟	mą́ze htáhtaze
tapping sound	𐓱𐓘́𐓱𐓘𐓺𐓟	htáhtaze
tarantula	𐓳𐓟́𐓸𐓪𐓬𐓟𐓡𐓶̄𐓮𐓲𐓟̄	hcéxopehuuscee
task	𐓪́𐓷𐓪͘	ówǫ
taste (verb)	𐓣́𐓤'𐓶𐓲𐓟	íkˀuce
tea	𐓭𐓟́𐓻𐓟 𐓨𐓘́͘𐓥𐓘	hpéže mą́hka
tea: buckeye ~	𐓱𐓘́š𐓤𐓘 𐓡𐓣́	htáška hí
tea: cedar ~	𐓸𐓪̄͘𐓲𐓟́𐓩𐓣̄	xǫǫcénii
tea: green ~	𐓭𐓟́𐓻𐓟 𐓱𐓪́𐓡𐓪	hpéže htóho
tea: iced ~	𐓭𐓟́𐓻𐓟𐓩𐓣̄ 𐓩𐓘́͘𐓹𐓟 𐓪̄𐓧𐓘́͘	hpéženii ną́ɣe oolą́
tea: peyote ~	𐓷𐓘𐓩𐓪́͘𐓜𐓟𐓩𐓣̄	wanǫ́brenii
teach	𐓷𐓘𐓤𐓪́͘𐓺𐓟	wakǫ́ze
teach something to someone	𐓤𐓪́͘𐓺𐓟, 𐓤š𐓣𐓪͘𐓺𐓟	kǫ́ze, kšiǫze
teacher	𐓷𐓘𐓤𐓪́͘𐓺𐓟	wakǫ́ze
teachings	𐓣́𐓟	íe
tear (noun), teardrop	𐓣̄͘š𐓰𐓘́𐓜𐓣	įįštábri
tear (verb)(rip)	𐓤𐓘̄𐓜𐓘́𐓺𐓟	kaabráze
tear apart (e.g., a tree limb from the trunk)	𐓵𐓶𐓬𐓘́𐓸𐓘	ðupáxa
tease: be a ~,tease someone	𐓵𐓣̄𐓡𐓣́𐓲𐓟	ðiihíce
tease people	𐓷𐓘𐓵𐓣̋𐓡𐓣𐓲𐓟	waðíihice
teenager	𐓳𐓟́𐓤𐓘 𐓩𐓪̋͘	hcéka nǫ́ǫ
teeter	𐓮𐓣́𐓮𐓣𐓘͘𐓵𐓟	sísiąðe
teeth	𐓡𐓣̋	híi
telegraph	𐓨𐓘́͘𐓺𐓟𐓤'𐓘͘𐓮𐓘̄𐓤𐓣	mą́zekˀąsaaki
telegraph: send there by ~	𐓨𐓘́͘𐓺𐓟𐓤'𐓘͘𐓮𐓘̄𐓤𐓣 𐓵𐓟̋ 𐓤𐓘̋𐓹𐓟	mą́zekˀąsaaki ðée káaɣe
telephone	𐓨𐓘́͘𐓺𐓟𐓪𐓥𐓣́𐓥𐓣𐓟	mą́zeohkíhkie
television	𐓨𐓘́͘𐓺𐓟 𐓣́𐓟 𐓪́𐓷𐓘𐓰𐓪͘𐓟	mą́ze íe ówatǫe
tell (e.g., news, stories)	𐓪𐓵𐓘̋𐓤𐓟	oðáake
tell about oneself	𐓪𐓥𐓣́𐓧𐓘̄𐓤𐓟	ohkílaake
tell someone not to (do something)	𐓣́𐓻𐓪š𐓣	ížoši
tell someone to do something	𐓟̋, 𐓳𐓟 𐓟̋	ée, hce ée
tell the truth	𐓷𐓣́͘𐓤š𐓟	wį́kše
tell untruths	𐓣́𐓸𐓪𐓬𐓟	íxope
tell-all	𐓰𐓘̋𐓰𐓘͘𐓻𐓣́͘ 𐓮́𐓤𐓣 𐓪́𐓵𐓘̄𐓤𐓟	táatąžį́ śki óðaake
telling: a ~ of something	𐓪́𐓵𐓘̄𐓤𐓟	óðaake
temper: bad ~	𐓷𐓘𐓵𐓣́𐓧𐓘͘ 𐓭𐓣̋𐓻𐓣	waðílą hpíiži
tempest	𐓱𐓘̄𐓲𐓟́ 𐓭𐓣̋𐓻𐓣, 𐓱𐓘̄𐓲𐓟́ 𐓪́𐓡𐓟𐓮𐓘𐓻𐓣	htaacé hpíiži, htaacé óhesaži
ten, tenth	𐓧𐓟́𐓜𐓘͘	lébrą
ten cents	𐓷𐓘𐓵𐓘̋𐓷𐓘 𐓧𐓟́𐓜𐓘͘	waðáawa lébrą
tend (take care of)	𐓘́𐓰𐓪͘𐓬𐓟	átǫpe
tend someone	𐓘́𐓰𐓤𐓣𐓰𐓪͘𐓬𐓟	átkitǫpe
tender	𐓷𐓘𐓲'𐓟́𐓤𐓘	wacˀéka
tent	𐓡𐓘̄𐓮𐓤𐓘́𐓳𐓣, 𐓷𐓘𐓻𐓘́𐓣𐓳𐓣	haaskáhci, wažáihci
tepid	š𐓰𐓘́𐓤𐓟	štáke
terminate an activity preparatory to departing	𐓩𐓘̄͘𐓻𐓣́͘	nąąžį́
terrapin	𐓥𐓟̋	hkée
test (verb)	𐓣́𐓤'𐓶𐓲𐓟	íkˀuce
test: put each other to a ~	𐓘́𐓥𐓣𐓘𐓮𐓘͘𐓲𐓣	áhkiasąci
test: put someone to the ~	𐓘́𐓮𐓘𐓲̨𐓣, 𐓤𐓘𐓮𐓪́͘𐓲𐓣	ásac̨i, kasǫ́ci
testicles	š𐓪͘𐓲𐓪́𐓮𐓪	šǫcóso
testimony: give ~	𐓷𐓘𐓷𐓟́𐓬𐓘𐓡𐓪͘	wawépahǫ
text: document or paper containing ~	𐓷𐓘𐓧𐓟́𐓺𐓟	waléze
thank you	𐓷𐓟̋𐓷𐓣𐓩𐓘͘	wéewiną
thank you ('feel good' used as an equivalent of thank you)	𐓤𐓣𐓵𐓘́𐓧𐓣͘	kiðálį
thankful	𐓪́𐓷𐓟̄𐓩𐓘	óweena
thankful: be ~ (for)	𐓷𐓟́𐓟𐓩𐓘͘	wéeną
Thanksgiving Day	𐓮𐓶́𐓥𐓘𐓱𐓘̄͘ 𐓡𐓘̋͘𐓬𐓘	súhkahtąą hą́ąpa
that (complementizer connecting subordinate clause to the following main clause)	𐓴𐓟	che
that, this, those, these	𐓵𐓟̋	ðée
that, those (near you)	š𐓟̋	šée
that, those (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	𐓰𐓪́𐓷𐓘tówa
that direction	𐓟́𐓨𐓘͘𐓱𐓘	émąhta
that one, that person (emphatic pronoun)	𐓟̋	ée
that only	𐓟̋𐓩𐓘́	éená
that way	𐓤𐓘̄𐓤𐓪́͘	kaakǫ́
that way: along ~	𐓟̋ 𐓱𐓘́𐓡𐓘	ée htáha
that yonder	𐓤𐓪̋𐓰𐓘	kóota
that's all	𐓤𐓘̄𐓤𐓪͘𐓩𐓘́͘	kaakǫną́
that's why	𐓟̄𐓩𐓘́	eená
the (no exact Osage equivalent; see positional articles; subject markers; that; this)		
theater	𐓪́𐓷𐓘𐓰𐓪͘𐓣͘𐓳𐓣	ówatǫįhci
theater presentation	𐓪́𐓷𐓘𐓰𐓫	ówatoį
theft	𐓷𐓘𐓨𐓘̋͘𐓵𐓪͘	wamą́ąðǫ
their, theirs	𐓣́𐓱𐓘, 𐓣́𐓱𐓘̄𐓬𐓣	íhta, íhtaapi
their place: at ~	𐓟𐓲𐓣́ 𐓬𐓘	ecí pa
them (There is no direct equivalent in Osage)		
themselves (see reflexive prefix)		
then, and then immediately or right away	𐓤𐓘𐓵𐓪́͘	kaðǫ́
then: and ~	𐓤𐓘𐓵𐓪́͘, 𐓤𐓘̋𐓤𐓪͘ 𐓰𐓘͘	kaðǫ́, káakǫ tą
there	𐓵𐓟̄𐓤𐓘́	ðeeká
there: be ~	𐓟𐓲𐓣́	ecí
there: get, stand, or stay ~ (as in a room or a place 0	𐓪𐓩𐓘̋͘𐓻𐓣͘	oną́ąžį
there: go, come, or arrive ~ (motion accomplished)	𐓘𐓡𐓣́	ahí
there: go ~ (motion underway)	𐓘𐓵𐓟̋	aðée
there: over ~	𐓟̋ 𐓱𐓘́𐓡𐓘, 𐓤𐓘̄𐓵𐓪́, 𐓤𐓪̄𐓰𐓚́𐓤𐓟	ée htáha, kaaðó, kootáįke
there (near you)	š𐓟́, š𐓟̄𐓵𐓪́͘	šé, šeeðǫ́
therefore	𐓵𐓟𐓤𐓘́𐓱𐓘͘, 𐓟̄𐓩𐓘́, 𐓟̋𐓰𐓘𐓩𐓘, 𐓟́𐓤𐓪͘, 𐓟́𐓰𐓘͘, 𐓤𐓘̋𐓤𐓪͘ 𐓰𐓘͘	ðekáhtą, eená, éetana, ékǫ, étą, káakǫ tą
these	𐓵𐓟̄, 𐓵𐓟̄𐓤𐓘́	ðee, ðeeká
these, this (animate or inanimate, emphatic or expressing certainty or immediacy)	𐓤𐓘̋	káa
these scattered	𐓵𐓟̋𐓤𐓟	ðéeke
they (There is no direct equivalent in Osage).		
they too	𐓟̄š𐓤𐓣𐓰́𐓘͘	eeškit́ą
thick	š𐓪̄𐓤𐓘́	šooká
thick skin	𐓡𐓘̋ š𐓪̄𐓤𐓘́	háa šooká
thief	𐓷𐓘𐓨𐓘̋͘𐓵𐓪͘š𐓰𐓘͘	wamą́ąðǫštą
thievery	𐓷𐓘𐓨𐓘̋͘𐓵𐓪	wamą́ąðo
thigh	𐓮𐓣́𐓺𐓪	sízo
thin	𐓜𐓟́𐓥𐓘, 𐓧𐓘𐓻𐓣̋͘	bréhka, lažį́į
thing	𐓰𐓘̋͘𐓮𐓤𐓘	tą́ąska
thingamajig	𐓰𐓘̋͘𐓮𐓤𐓘	tą́ąska
thing(s)	𐓰𐓘̋𐓰𐓘͘	táatą
things: many or lots of ~	𐓰𐓘̋𐓰𐓘͘ 𐓪𐓴𐓣́	táatą ochí
things: small ~	𐓰𐓘̋𐓰𐓘͘𐓻𐓣́͘	táatąžį́
things one has to do	𐓪́𐓷𐓪͘	ówǫ
things scattered around (as in a messy house)	𐓪́𐓬𐓪𐓲𐓟	ópoce
think	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
think about	𐓟́𐓵𐓟, 𐓟́𐓤𐓣𐓵𐓟, 𐓣́𐓵𐓣𐓧𐓘͘, 𐓪́𐓵𐓘̄͘𐓲𐓟š𐓣, 𐓷𐓘𐓵𐓣𐓧𐓘͘	éðe, ékiðe, íðilą, óðąąceši, waðilą
think about again	𐓪𐓵𐓪́𐓡𐓘𐓤𐓟 𐓣́𐓵𐓣𐓧𐓘͘	oðóhake íðilą
think about something	𐓰𐓘̋𐓰𐓘͘ 𐓣́𐓵𐓣𐓧𐓘͘	táatą íðilą
think ill of someone	𐓭𐓣̋𐓻𐓣 𐓘𐓻𐓣́͘	hpíiži ažį́
think on	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
think oneself to be a certain way (?)	𐓘́𐓥𐓣𐓻𐓣	áhkiži
think regarding someone	𐓘𐓻𐓣́͘	ažį́
think so	𐓟́𐓤𐓣𐓵𐓟	ékiðe
thinking	𐓷𐓘𐓵𐓣𐓧𐓘͘	waðilą
third	𐓷𐓟́𐓵𐓘̄𐓜𐓣͘	wéðaabrį
thirsty: be ~ for	𐓣́𐓬𐓶𐓺𐓟	ípuze
thirteen, thirteenth	𐓧𐓟́𐓜𐓘͘ 𐓘́𐓧𐓣̄͘ 𐓵𐓘̋𐓜𐓣͘	lébrą álįį ðáabrį
this	𐓵𐓟̋, 𐓟̋, 𐓤𐓘̋	ðée, ée, káa
this time	𐓵𐓟́𐓰𐓸𐓘͘	ðétxą
thorns, thorny	𐓷𐓘𐓸𐓘́𐓤𐓘	waxáka
thorny tree	𐓻𐓘̋͘ 𐓷𐓘𐓸𐓘́𐓤𐓘	žą́ą waxáka
thoroughfare	𐓪́𐓻𐓘͘𐓤𐓟	óžąke
those, that	𐓵𐓟̋	ðée
those, that (near you)	š𐓟̋	šée
those, that (person[s] or thing[s] that are relatively remote or whose exact description is unknown or of little importance)	𐓰𐓪́𐓷𐓘tówa
those from around here	𐓵𐓟̄𐓤𐓣́𐓡𐓘	ðeekíha
thought	𐓷𐓘𐓵𐓣́𐓧𐓘͘	waðílą
thoughtlessly	𐓣𐓵𐓣́𐓧𐓘͘ 𐓵𐓣͘𐓤𐓟́	iðílą ðįké
thousand	𐓻𐓘̋͘𐓥𐓪𐓤𐓟	žą́ąhkoke
thrash	𐓪𐓴𐓣́͘	ochį́
thread	𐓡𐓘̋𐓷𐓟𐓘́𐓺𐓟	háaweáze
three	𐓵𐓘̋𐓜𐓣͘	ðáabrį
threshold	𐓳𐓣𐓻𐓟́𐓬𐓟	hcižépe
throat	𐓰𐓪̋𐓲𐓟	tóoce
throat: sore ~	𐓰𐓪̋𐓲𐓟 𐓩𐓣́𐓟	tóoce níe
through (direction).	𐓡𐓘	ha
through: be ~ (be finished).	𐓵𐓣̄š𐓰𐓘́͘	ðiištą́
through: go ~ (as a road).	𐓪𐓬𐓸𐓘́͘	opxą́
through the action of.	𐓣́-	í-
throughout: be ~ an area or a group of people.	𐓪𐓨𐓘́͘𐓵𐓣͘	omą́ðį
throughout: be ~ a person's body.	𐓪𐓨𐓘́͘𐓵𐓣͘	omą́ðį
throw.	𐓤𐓣̋͘𐓵𐓟,𐓪̋͘𐓵𐓘	kį́įðe,ǫ́ǫða
throw away.	𐓪̋͘𐓵𐓘,𐓪̋͘𐓵𐓟	ǫ́ǫða,ǫ́ǫðe
throw each other away.	𐓥𐓣́𐓪͘𐓵𐓟,𐓪𐓥𐓣́𐓪͘𐓵𐓟	hkíǫðe,ohkíǫðe
throw off (suddenly severing or moving something or someone from something).	𐓪𐓤𐓘́𐓸𐓬𐓘	okáxpa
throw oneself into.	𐓪𐓥𐓣́𐓪͘𐓵𐓟	ohkíǫðe
throw someone away.	𐓪𐓥𐓣́𐓪͘𐓵𐓟	ohkíǫðe
throw up due to overheating.	𐓪́𐓤𐓪𐓭𐓘	ókohpa
thumbprint: make a ~ on a document in lieu of a signature	𐓣́𐓤𐓶𐓮𐓬𐓟	íkuspe
thumb hard	𐓰𐓘̄š𐓟́𐓵𐓟	taašéðe
thumping sound (e.g. footsteps).	𐓡𐓟𐓣́𐓲𐓟	heíce
thunder (noun).	𐓧𐓪̄͘𐓡𐓪́͘,𐓧𐓪̄͘𐓡𐓪̋𐓱𐓘͘	lǫǫhǫ́,lǫǫhóohtą
thunder (verb).	𐓧𐓪̄͘𐓡𐓪̋𐓱𐓘͘	lǫǫhóohtą
Thunder clan, person of the Thunder clan.	𐓧𐓪̋͘ 𐓣𐓩𐓣́𐓥𐓘š𐓣𐓤𐓘	lǫ́ǫ iníhkašika
thunder people.	𐓧𐓪̋͘ 𐓩𐓣́𐓥𐓘š𐓣𐓤𐓘	lǫ́ǫ níhkašika
thunder: grandmother~.	𐓣̄𐓥𐓪́ 𐓧𐓪̋͘	iihkó lǫ́ǫ
thunder: lots or large amount of~.	𐓧𐓪̄͘ 𐓡𐓶̋	lǫǫ húu
Thursday.	𐓡𐓘̋͘𐓬𐓘 𐓷𐓟́𐓰𐓪̄𐓬𐓘	hą́ąpa wétoopa
thus.	𐓟̋𐓰𐓘𐓩𐓘,𐓟́𐓤𐓪͘	éetana,ékǫ
thus with certainty.	𐓤𐓘̄𐓤𐓪́͘	kaakǫ́
tick (e.g., a clock or an insect making noise)	𐓱𐓘́𐓱𐓘𐓺𐓟	htáhtaze
ticking noise against metal (a made by a typewriter)	𐓨𐓘́͘𐓺𐓟 𐓱𐓘́𐓱𐓘𐓺𐓟	mą́ze htáhtaze
ticking sound	𐓱𐓘́𐓱𐓘𐓺𐓟	htáhtaze
tickle	𐓵𐓣𐓤'𐓣́𐓵𐓟	ðikˀíðe
tidy, tidy up.	𐓵𐓶̄𐓮𐓰𐓘́𐓤𐓪	ðuustáko
tie (e.g. shoelaces).	𐓪𐓵𐓘́š𐓤𐓟, 𐓪𐓤𐓘́š𐓤𐓟	oðáške, okáške
tie down (e.g. a drum).	𐓬𐓘̄𐓸𐓲𐓟́	paaxcé
tie in a bundle something specific, tie stuff up as a bundle.	𐓪𐓬𐓟́𐓰𐓸𐓘͘	opétxą
tie the drum; (involves wrapping the drup ip and tying it).	𐓲𐓟́𐓹𐓟𐓩𐓣̄ 𐓤𐓘̋𐓹𐓟	céɣenii káaɣe
tie to something	𐓘́𐓤𐓘š𐓤𐓟	ákaške
tie up.	𐓘́𐓤𐓘š𐓤𐓟,𐓘́𐓬𐓟𐓰𐓸𐓘,𐓵𐓶̄š𐓘́𐓷𐓣͘,𐓤𐓘š𐓤𐓟́,𐓪𐓵𐓣̋𐓩𐓘͘,𐓪𐓤𐓘́š𐓤𐓟	ákaške,ápetxa,ðuušáwį,kašké,oðíiną,okáške
tight,tightly.	𐓮𐓘̄𐓤𐓣́	saakí
tight (inebriated).	𐓧𐓪́͘𐓵𐓣͘,𐓪𐓨𐓘́͘𐓣͘𐓻𐓣͘	lǫ́ðį,omą́įžį
timbers.	𐓺𐓘̋͘	zą́ą
time: a long ~ (which has passed).	𐓤𐓘̋š𐓣	káaši
time: at this ~.	𐓵𐓟𐓰𐓸𐓘́͘𐓲𐓣	ðetxą́ci
time: be at that ~.	𐓟𐓲𐓣́	ecí
time: from this ~ on.	𐓵𐓟𐓰𐓸𐓘́͘𐓡𐓘	ðetxą́ha
time: in or near that ~.	𐓟̋ 𐓱𐓘́𐓡𐓘	ée htáha
time: it is ~.	𐓟̋𐓰𐓸𐓘͘, 𐓨𐓣̄͘𐓵𐓪́𐓱𐓘	éetxą, mįįðóhta
time: it's ~ again.	𐓟́𐓤𐓣𐓰𐓸𐓘͘	ékitxą
time: this ~.	𐓵𐓟́𐓰𐓸𐓘͘	ðétxą
time after time.	𐓪𐓥𐓣́𐓟𐓰𐓸𐓘͘𐓰𐓸𐓘͘, 𐓪́𐓰𐓸𐓘͘𐓰𐓸𐓘͘	ohkíetxątxą, ótxątxą
time of day (as told by the clock).	𐓨𐓣̋͘𐓪𐓵𐓘̄𐓤𐓟	mį́įoðaake
tinder.	𐓻𐓘̄͘𐓳𐓶́𐓤'𐓘	žąąhcúkˀa
tiny.	𐓷𐓘𐓡𐓪́š𐓝𐓘𐓻𐓣͘	wahóščažį
tip (of an object).	𐓭𐓘𐓮𐓶́, 𐓣𐓱𐓘́𐓹𐓟	hpasú, ihtáɣe
tipi.	𐓷𐓘𐓻𐓘́𐓣𐓳𐓣	wažáihci
tire (of a vehicle).	𐓳𐓟́𐓵𐓟	hcéðe
tired.	𐓤𐓘̄𐓮𐓤𐓣́𐓤𐓟, 𐓮𐓤𐓣́𐓤𐓟	kaaskíke, skíke
tired: be ~ of.	𐓣̋𐓜𐓘͘	íibrą
tired: become or be ~ of.	𐓪𐓵𐓶̋𐓲'𐓘𐓤𐓟	oðúucˀake
tired: feel ~.	𐓪́𐓻𐓟𐓵𐓟	óžeðe
to.	𐓲𐓣, 𐓣͘𐓤š𐓣, 𐓤𐓣, 𐓤š𐓣	ci, įkši, ki, kši
toad.	𐓩𐓣̋𐓻𐓶 𐓪𐓸𐓘́𐓤𐓟	níižu oxáke
toad: horned ~.	𐓤𐓘𐓧𐓪́͘𐓟𐓻𐓟	kalǫ́eže
tobacco.	𐓩𐓘͘𐓩𐓶́𐓡𐓶	nąnúhu
tobacco bag.	𐓩𐓘͘𐓩𐓣͘𐓪́͘𐓤𐓶𐓻𐓶, 𐓩𐓘͘𐓩𐓶́𐓡𐓶𐓪̄𐓻𐓶́𐓡𐓘̄	nąnįǫ́kužu, nąnúhuoožúhaa
tobacco boss (whos sits to the left of the roadman in a peyote meeting).	𐓩𐓘͘𐓩𐓣͘𐓪́͘𐓬𐓘 𐓪𐓧𐓣̋͘	nąnįǫ́pa olį́į
tobacco pouch.	𐓩𐓘͘𐓩𐓣͘𐓪́͘𐓤𐓶𐓻𐓶	nąnįǫ́kužu
today.	𐓡𐓘̋͘𐓬𐓘, 𐓡𐓪̋͘𐓬𐓘 𐓵𐓟́	hą́ąpa, hǫ́ǫpa ðé
toe.	𐓮𐓣̄𐓭𐓪́	siihpó
together: place ~ (as when cooking two or more items together).	𐓪𐓵𐓪́𐓥𐓣𐓵𐓟	oðóhkiðe
toilet, toilet room.	𐓪𐓻𐓟𐓳𐓣	ožehci
toilet paper.	𐓣́𐓤𐓘𐓳𐓣	íkahci
told: as it is or was ~ (e.g. as in a story or in the Bible). (see reportive markers)		
tomato.	𐓥𐓘̋͘𐓵𐓟 𐓻𐓶́𐓟	hką́ąðe žúe
tomorrow.	𐓤𐓘̄𐓮j̨́	kaasj̨́
tongue.	𐓵𐓟̋𐓺𐓟	ðéeze
tongue-tied: be ~, tongue splayed or split.	𐓵𐓟̋𐓺𐓟 𐓪𐓬𐓘́𐓮𐓣𐓤𐓟	ðéeze opásike
tonight.	𐓡𐓘̄͘𐓵𐓟́	hąąðé
Tonkawa (tribe or tribal member).	𐓷𐓘𐓵𐓘́𐓩𐓣̄	waðánii
too (also)	š𐓤𐓣,-š𐓤𐓣́𐓰𐓘͘	ški,-škítą
too (excessively).	𐓷𐓘́𐓧𐓣͘	wálį
too: he/she, it, or they ~.	𐓟̄š𐓤𐓣́𐓰𐓘͘	eeškítą
too much or too long: person who talks ~.	𐓣́𐓟 𐓮𐓲𐓟𐓲𐓟, 𐓣́𐓟š𐓰𐓘͘	íe scece, íeštą
tool.	𐓷𐓟́𐓥𐓣𐓤'𐓪͘	wéhkikˀǫ
tool for cutting wood.	𐓷𐓟́𐓬𐓘̄𐓮𐓟	wépaase
tool used to make something	𐓷𐓟́𐓤𐓘̄𐓹𐓟	wékaaɣe
tooth.	𐓡𐓣̋	híi
toothless.	𐓡𐓣̋ j𐓤𐓟	híi jke
top, on top.	𐓘́𐓤𐓘𐓡𐓘	ákaha
top: on ~ of s.t	𐓟𐓧𐓮𐓟 𐓘́𐓨𐓘͘š𐓣	else ámąši
topple (as a tree topples)	𐓸𐓣́𐓵𐓘	xíða
torn	𐓜𐓘́𐓺𐓟	bráze
torn (said of clothing)	𐓲𐓶̋𐓵𐓘	cúuða
tornado	𐓱𐓘̄𐓲𐓟́ 𐓭𐓣̋𐓻𐓣, 𐓱𐓘̄𐓲𐓟́ 𐓪́𐓡𐓟𐓮𐓘𐓻𐓣	htaacé hpíiži, htaacé óhesaži
tortoise	𐓥𐓟̋	hkée
toss	𐓪̋͘𐓵𐓘, 𐓪́͘𐓪𐓵𐓟	ǫ́ǫða, ǫ́oðe
totter	𐓮𐓣́𐓮𐓣𐓘͘𐓵𐓟	sísiąðe
touch softly as with a feather fan, barely touch	𐓵𐓣̄𐓳𐓟́	ðiihcé
touch the of s.o	š𐓘̋𐓤𐓟 𐓪𐓵𐓣̋͘𐓤𐓟	šáake oðį́įke
touch with the fingers	𐓬𐓘̄𐓮𐓬𐓘́͘	paaspą́
touch with the hand	𐓵𐓣̄𐓱𐓘́͘	ðiihtą́
toward	𐓱𐓘, 𐓱𐓘́𐓡𐓘	hta, htáha
toward: not ~ that way	𐓟́𐓨𐓘͘𐓱𐓘𐓻𐓣́𐓡𐓘	émąhtažíha
toward the center	𐓨𐓘͘𐓴𐓟́𐓱𐓘𐓡𐓘	mąchéhtaha
toward you: go ~	š𐓪𐓵𐓟̋	šoðée
toward you (along a path toward where you [the hearer] are or toward something or someone nearer to you than to the speaker)	š𐓟̋ 𐓱𐓘𐓡𐓘	šée htaha
towel: hand ~	š𐓘̋𐓤𐓟 𐓣́𐓬𐓶𐓤𐓸𐓘	šáake ípukxa
towel: dish ~	𐓡𐓣̋͘𐓲𐓟 𐓣́𐓬𐓶𐓤𐓸𐓘	hį́įce ípukxa
towel: paper ~	𐓱𐓘𐓩𐓘́͘𐓤'𐓘 𐓣́𐓬𐓶𐓤𐓸𐓘	htaną́kˀa ípukxa
town	𐓱𐓘́͘𐓷𐓘͘	htą́wą
Town Builder (personal name)	𐓱𐓘́͘𐓷𐓘𐓤𐓘̋𐓹𐓟	htą́wakáaɣe
town crier	𐓣́𐓟𐓤𐓣𐓟, 𐓷𐓘𐓲𐓣́𐓬𐓸𐓚	íekie, wacípxaį
toy with	𐓵𐓣̄𐓡𐓣́𐓲𐓟	ðiihíce
tracks	š𐓘̋𐓤𐓟	šáake
trade (noun)	𐓣́𐓥𐓣𐓥𐓘𐓷𐓣͘	íhkihkawį
trade (verb)	𐓣́𐓥𐓣𐓥𐓘𐓷𐓣͘ 𐓤𐓘̋𐓹𐓟	íhkihkawį káaɣe
trade for	𐓣́𐓵𐓶𐓷𐓣͘	íðuwį
trading house	𐓷𐓘𐓰𐓪̋͘𐓻𐓶	watǫ́ǫžu
traditiong	𐓪́𐓵𐓘̄𐓤𐓟	óðaake
tradition: embrace as ~	𐓪𐓵𐓣̋͘𐓤𐓟	oðį́įke
trailer	𐓪𐓵𐓣́𐓱𐓘͘ 𐓳𐓣́ 𐓪𐓵𐓘́𐓡𐓘	oðíhtą hcí oðáha
train	𐓪𐓵𐓣́𐓱𐓘͘ 𐓤'𐓘́͘𐓮𐓘̄𐓤𐓣	oðíhtą kˀą́saaki
trample	𐓩𐓘̄͘𐓮𐓰𐓘́	nąąstá
tranquil	š𐓤𐓘š𐓤𐓘́𐓵𐓘	škaškáða
transport (verb)	𐓤'𐓣́͘𐓘𐓡𐓣	kˀį́ahi
trap (noun)	𐓨𐓘́͘𐓺𐓟 𐓪𐓵𐓪́𐓜𐓣̄͘𐓤𐓟	mą́ze oðóbrįįke
trash (noun)	𐓪́𐓬𐓪𐓲𐓟	ópoce
travel	𐓤𐓘̄𐓧𐓪́͘𐓵𐓟, 𐓷𐓘𐓨𐓘́͘𐓵𐓣͘	kaalǫ́ðe, wamą́ðį
travel around	𐓪𐓬𐓘́𐓷𐓣͘𐓹𐓟	opáwįɣe
